1,2019,1,1,2,""
2,2019,1,2,3,""
3,2019,1,3,4,""
4,2019,1,4,5,""
5,2019,1,5,6,""
6,2019,1,6,7,""
7,2019,1,7,1,""
8,2019,1,8,2,""
9,2019,1,9,3,""
10,2019,1,10,4,""
11,2019,1,11,5,""
12,2019,1,12,6,""
13,2019,1,13,7,""
14,2019,1,14,1,""
15,2019,1,15,2,""
16,2019,1,16,3,""
17,2019,1,17,4,""
18,2019,1,18,5,""
19,2019,1,19,6,""
20,2019,1,20,7,""
21,2019,1,21,1,""
22,2019,1,22,2,""
23,2019,1,23,3,""
24,2019,1,24,4,""
25,2019,1,25,5,""
26,2019,1,26,6,""
27,2019,1,27,7,""
28,2019,1,28,1,""
29,2019,1,29,2,""
30,2019,1,30,3,""
31,2019,1,31,4,""
32,2019,2,1,5,""
33,2019,2,2,6,""
34,2019,2,3,7,""
35,2019,2,4,1,""
36,2019,2,5,2,""
37,2019,2,6,3,""
38,2019,2,7,4,""
39,2019,2,8,5,""
40,2019,2,9,6,""
41,2019,2,10,7,""
42,2019,2,11,1,""
43,2019,2,12,2,""
44,2019,2,13,3,""
45,2019,2,14,4,""
46,2019,2,15,5,""
47,2019,2,16,6,""
48,2019,2,17,7,""
49,2019,2,18,1,""
50,2019,2,19,2,""
51,2019,2,20,3,""
52,2019,2,21,4,""
53,2019,2,22,5,""
54,2019,2,23,6,""
55,2019,2,24,7,""
56,2019,2,25,1,""
57,2019,2,26,2,""
58,2019,2,27,3,""
59,2019,2,28,4,""
60,2019,3,1,5,""
61,2019,3,2,6,""
62,2019,3,3,7,""
63,2019,3,4,1,""
64,2019,3,5,2,""
65,2019,3,6,3,""
66,2019,3,7,4,""
67,2019,3,8,5,""
68,2019,3,9,6,""
69,2019,3,10,7,""
70,2019,3,11,1,""
71,2019,3,12,2,""
72,2019,3,13,3,""
73,2019,3,14,4,""
74,2019,3,15,5,""
75,2019,3,16,6,""
76,2019,3,17,7,""
77,2019,3,18,1,""
78,2019,3,19,2,""
79,2019,3,20,3,""
80,2019,3,21,4,""
81,2019,3,22,5,""
82,2019,3,23,6,""
83,2019,3,24,7,""
84,2019,3,25,1,""
85,2019,3,26,2,""
86,2019,3,27,3,""
87,2019,3,28,4,""
88,2019,3,29,5,""
89,2019,3,30,6,""
90,2019,3,31,7,""
91,2019,4,1,1,""
92,2019,4,2,2,""
93,2019,4,3,3,""
94,2019,4,4,4,""
95,2019,4,5,5,""
96,2019,4,6,6,""
97,2019,4,7,7,""
98,2019,4,8,1,""
99,2019,4,9,2,""
100,2019,4,10,3,""
101,2019,4,11,4,""
102,2019,4,12,5,""
103,2019,4,13,6,""
104,2019,4,14,7,""
105,2019,4,15,1,""
106,2019,4,16,2,""
107,2019,4,17,3,""
108,2019,4,18,4,""
109,2019,4,19,5,""
110,2019,4,20,6,""
111,2019,4,21,7,""
112,2019,4,22,1,""
113,2019,4,23,2,""
114,2019,4,24,3,""
115,2019,4,25,4,""
116,2019,4,26,5,""
117,2019,4,27,6,""
118,2019,4,28,7,""
119,2019,4,29,1,""
120,2019,4,30,2,""
121,2019,5,1,3,""
122,2019,5,2,4,""
123,2019,5,3,5,""
124,2019,5,4,6,""
125,2019,5,5,7,""
126,2019,5,6,1,""
127,2019,5,7,2,""
128,2019,5,8,3,""
129,2019,5,9,4,""
130,2019,5,10,5,""
131,2019,5,11,6,""
132,2019,5,12,7,""
133,2019,5,13,1,""
134,2019,5,14,2,""
135,2019,5,15,3,""
136,2019,5,16,4,""
137,2019,5,17,5,""
138,2019,5,18,6,""
139,2019,5,19,7,""
140,2019,5,20,1,""
141,2019,5,21,2,""
142,2019,5,22,3,""
143,2019,5,23,4,""
144,2019,5,24,5,""
145,2019,5,25,6,""
146,2019,5,26,7,""
147,2019,5,27,1,""
148,2019,5,28,2,""
149,2019,5,29,3,""
150,2019,5,30,4,""
151,2019,5,31,5,""
152,2019,6,1,6,""
153,2019,6,2,7,""
154,2019,6,3,1,""
155,2019,6,4,2,""
156,2019,6,5,3,""
157,2019,6,6,4,""
158,2019,6,7,5,""
159,2019,6,8,6,""
160,2019,6,9,7,""
161,2019,6,10,1,""
162,2019,6,11,2,""
163,2019,6,12,3,""
164,2019,6,13,4,""
165,2019,6,14,5,""
166,2019,6,15,6,""
